(796, 406)
(796, 383)
(785, 373)
(769, 358)
(760, 341)
(781, 329)
(796, 313)
(809, 295)
(816, 278)
(829, 260)
(849, 250)
(872, 250)
(896, 246)
(922, 242)
(945, 237)
(957, 222)
(957, 206)
(978, 206)
(998, 209)
(1016, 209)
(1032, 216)
(1049, 234)
(1067, 247)
(1084, 263)
(1086, 285)
(1090, 309)
(1108, 324)
(1130, 326)
(1149, 337)
(1170, 352)
(1182, 372)
(1175, 393)
(1162, 413)
(1147, 426)
(1131, 434)
(1114, 449)
(1099, 468)
(1094, 491)
(1091, 514)
(1088, 536)
(1075, 552)
(1051, 555)
(1030, 563)
(1013, 575)
(998, 595)
(988, 616)
(968, 623)
(945, 626)
(919, 628)
(898, 629)
(880, 616)
(875, 593)
(874, 570)
(870, 547)
(867, 524)
(860, 503)
(862, 498)
(871, 490)
(852, 485)
(829, 483)
(807, 477)
(796, 460)
(801, 434)
(796, 411)
(793, 406)
(788, 393)
(783, 378)
(796, 365)
(808, 345)
(817, 321)
(816, 301)
(820, 280)
(827, 260)
(835, 242)
(847, 249)
(850, 252)
(830, 261)
(821, 281)
(821, 302)
(821, 315)
(811, 334)
(801, 354)
(786, 367)
(770, 385)
(754, 398)
(743, 416)
(727, 437)
(714, 455)
(691, 465)
(687, 488)
(691, 511)
(688, 534)
(683, 557)
(688, 580)
(707, 595)
(727, 595)
(750, 590)
(776, 590)
(822, 586)
(855, 585)
(876, 600)
(882, 624)
(883, 624)
(883, 624)
(883, 624)
(883, 624)
(883, 624)
(883, 624)
(883, 624)
(883, 624)
(883, 624)
(883, 624)
(883, 624)
